Index,ImageType,Year,Coder1,Coder2,Consistency,BinSize,Position,XCoord,YCoord
0,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,1,1
1,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,2,1
2,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,3,1
3,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,4,1
4,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,5,1
5,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,6,1
6,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,7,1
7,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,8,1
8,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,9,1
9,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,10,1
10,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,11,1
11,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,12,1
12,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,13,1
13,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,14,1
14,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,15,1
15,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,16,1
16,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,17,1
17,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,18,1
18,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,19,1
19,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,20,1
20,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,21,1
21,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,22,1
22,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,23,1
23,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,24,1
24,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,25,1
25,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,26,1
26,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,27,1
27,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,28,1
28,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,29,1
29,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,30,1
30,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,31,1
31,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,32,1
32,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,33,1
33,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,34,1
34,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,35,1
35,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,36,1
36,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,37,1
37,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,38,1
38,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,39,1
39,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,40,1
40,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,41,1
41,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,42,1
42,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,43,1
43,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,44,1
44,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,45,1
45,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,46,1
46,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,47,1
47,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,48,1
48,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,49,1
49,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,50,1
50,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,51,1
51,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,52,1
52,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,53,1
53,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,54,1
54,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,55,1
55,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,56,1
56,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,57,1
57,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,58,1
58,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,59,1
59,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,60,1
60,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,61,1
61,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,62,1
62,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,63,1
63,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,64,1
64,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,65,1
65,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,66,1
66,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,67,1
67,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,1,2
68,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,2,2
69,Surface/Volume,1990,Surface/Volume,Surface/Volume,green,67,0,3,2
70,Surface/Volume,1995,Surface/Volume,Node-link,red,67,0,4,2
71,Surface/Volume,1995,Surface/Volume,Pattern,red,67,0,5,2
72,Surface/Volume,1995,Surface/Volume,Line,red,67,0,6,2
73,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,7,2
74,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,8,2
75,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,9,2
76,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,10,2
77,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,11,2
78,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,12,2
79,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,13,2
80,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,14,2
81,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,15,2
82,Surface/Volume,1995,Surface/Volume,Surface/Volume,green,67,0,16,2
