ImageName,Title,Year,Coders,coder1-encodings,coder2-encodings,other-coder-encodings
VisC.6.9.png,Surface representations of two- and three-dimensional fluid flow topology,1990,TI; RL,Surface/Volume,Surface/Volume,
VisC.36.1.png,A procedural interface for volume rendering,1990,RL; HS,Surface/Volume,Surface/Volume,
VisC.36.2.png,A procedural interface for volume rendering,1990,PI; RL,Surface/Volume,Surface/Volume,
VisC.45.7.png,Techniques for the interactive visualization of volumetric data,1990,HS; JC,Surface/Volume,Surface/Volume,
VisC.45.9.png,Techniques for the interactive visualization of volumetric data,1990,TM; JC,Surface/Volume,Surface/Volume,
VisC.45.8.png,Techniques for the interactive visualization of volumetric data,1990,TM; RL,Point,Grid,
VisC.45.5.png,Techniques for the interactive visualization of volumetric data,1990,PI; JC,Surface/Volume,Surface/Volume,
VisC.51.1.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,TI; HS,Line,Line,
VisC.51.6.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,PI; JC,Surface/Volume,Surface/Volume,
VisC.51.4.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,PI; JC,Surface/Volume,Surface/Volume,
VisC.51.3.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,TI; RL,Surface/Volume,Surface/Volume,
VisC.51.7.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,TI; JC,Surface/Volume,Surface/Volume,
VisC.51.5.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,TI; JC,Surface/Volume,Surface/Volume,
VisC.51.8.png,Displaying voxel-based objects according to their qualitative shape synthesis,1990,TM; HS,Surface/Volume,Surface/Volume,
VisC.67.10.png,Animation techniques for chain-coded objects,1990,RL; JC,Line,Line,
VisC.74.5.png,Extracting geometric models through constraint minimization,1990,TM; JC,Line,Line,
VisC.83.1.png,Wide-band relativistic Doppler effect visualization,1990,TM; RL,Line,Line,
VisC.83.7.png,Wide-band relativistic Doppler effect visualization,1990,PI; JC,Surface/Volume,Surface/Volume,
VisC.83.8.png,Wide-band relativistic Doppler effect visualization,1990,TM; JC,Surface/Volume,Surface/Volume,
VisC.83.10.png,Wide-band relativistic Doppler effect visualization,1990,TI; RL,Surface/Volume,Surface/Volume,
VisC.83.9.png,Wide-band relativistic Doppler effect visualization,1990,MS; PI,Surface/Volume,Surface/Volume,
VisC.83.11.png,Wide-band relativistic Doppler effect visualization,1990,MS; HS,Point,Surface/Volume,
VisC.83.12.png,Wide-band relativistic Doppler effect visualization,1990,RL; JC,Surface/Volume,Surface/Volume,
VisC.97.3.png,Techniques for visualizing Fermat's last theorem: a case study,1990,MS; HS,Point,Point,
VisC.97.4.png,Techniques for visualizing Fermat's last theorem: a case study,1990,JC; HS,Point,Point,
VisC.97.6.png,Techniques for visualizing Fermat's last theorem: a case study,1990,TM; JC,Surface/Volume,Surface/Volume,
VisC.124.3.png,Moving iconic objects in scientific visualization,1990,TI; RL,Glyph,Glyph,
VisC.124.6.png,Moving iconic objects in scientific visualization,1990,TI; HS,Line,Line,
VisC.131.1.png,Classifying visual knowledge representations: a foundation for visualization research,1990,MS; HS,Node-link,Node-link,
VisC.144.1.png,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,1990,PI; HS,Surface/Volume,Surface/Volume,
VisC.144.2.png,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,1990,MS; TI,Surface/Volume,Surface/Volume,
VisC.144.3.png,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,1990,TM; RL,Surface/Volume,Surface/Volume,
VisC.150.6.png,Applying space subdivision techniques to volume rendering,1990,JC; RL,Surface/Volume,Surface/Volume,
VisC.150.8.png,Applying space subdivision techniques to volume rendering,1990,MS; TM,Surface/Volume,Surface/Volume,
