image_id,eventType,GazeEventDuration
C14,eye_tracker,292
C14,eye_tracker,108
C14,mouse_scroll,158
C14,eye_tracker,308
C14,eye_tracker,358
C14,eye_tracker,117
C14,eye_tracker,158
C14,eye_tracker,192
C14,eye_tracker,67
C14,eye_tracker,75
C14,eye_tracker,158
C14,eye_tracker,400
C14,eye_tracker,158
C14,eye_tracker,67
C14,eye_tracker,75
C14,mouse_move,258
C14,eye_tracker,125
C14,eye_tracker,292
C14,eye_tracker,258
C14,mouse_move,275
C14,eye_tracker,75
C14,eye_tracker,108
C14,eye_tracker,117
C14,eye_tracker,283
C14,eye_tracker,67
C14,eye_tracker,158
C14,eye_tracker,92
C14,update_frame,92
C14,eye_tracker,83
C14,eye_tracker,125
C14,eye_tracker,175
C14,eye_tracker,242
C14,eye_tracker,158
C14,update_frame,117
C14,eye_tracker,217
C14,eye_tracker,200
C14,eye_tracker,67
C14,eye_tracker,475
C14,eye_tracker,175
C14,eye_tracker,200
C14,mouse_drag,108
C14,eye_tracker,83
C14,mouse_move,117
C14,eye_tracker,142
C14,eye_tracker,183
C14,mouse_move,83
C14,eye_tracker,133
C14,eye_tracker,117
C14,eye_tracker,258
C14,eye_tracker,67
C14,eye_tracker,208
C14,eye_tracker,117
C14,eye_tracker,125
C14,eye_tracker,67
C14,eye_tracker,525
C14,eye_tracker,75
C14,eye_tracker,283
C14,eye_tracker,117
C14,eye_tracker,325
C14,eye_tracker,125
C14,eye_tracker,167
C14,eye_tracker,158
C14,eye_tracker,117
C14,eye_tracker,242
C14,mouse_move,183
C14,eye_tracker,267
C14,eye_tracker,200
C14,update_frame,83
C14,mouse_move,192
C14,eye_tracker,183
C14,mouse_move,67
C14,eye_tracker,67
C14,eye_tracker,83
C14,eye_tracker,67
C14,eye_tracker,267
C14,eye_tracker,167
C14,eye_tracker,317
C14,mouse_scroll,192
C14,eye_tracker,83
C14,eye_tracker,67
C14,eye_tracker,250
C14,eye_tracker,92
C14,eye_tracker,142
C14,eye_tracker,167
C14,eye_tracker,150
C14,eye_tracker,150
C14,mouse_move,150
C14,eye_tracker,67
C14,eye_tracker,92
C14,mouse_move,133
C14,eye_tracker,67
C14,eye_tracker,167
C14,eye_tracker,75
C14,eye_tracker,100
C14,mouse_move,75
C14,mouse_move,67
C14,eye_tracker,133
C14,mouse_drag,142
C14,eye_tracker,67
C14,eye_tracker,67
C14,eye_tracker,83
C14,eye_tracker,67
C14,mouse_move,83
C14,mouse_move,75
C14,update_frame,175
C14,mouse_drag,100
C14,eye_tracker,83
C14,mouse_drag,83
C14,eye_tracker,142
C14,eye_tracker,67
C14,mouse_move,125
C14,eye_tracker,83
C14,eye_tracker,92
C14,eye_tracker,92
C14,eye_tracker,133
C14,mouse_drag,100
C14,eye_tracker,192
C14,eye_tracker,100
C14,eye_tracker,142
C14,mouse_move,75
C14,eye_tracker,92
C14,eye_tracker,133
C14,eye_tracker,100
C14,eye_tracker,67
C14,eye_tracker,67
C14,eye_tracker,150
C14,eye_tracker,67
C14,mouse_scroll,192
C14,eye_tracker,158
C14,eye_tracker,67
C14,eye_tracker,67
C14,eye_tracker,83
C14,eye_tracker,125
C14,eye_tracker,75
C14,mouse_move,117
C14,eye_tracker,150
C14,eye_tracker,117
C14,eye_tracker,142
C14,eye_tracker,133
C14,eye_tracker,367
C14,eye_tracker,275
C14,eye_tracker,67
C14,eye_tracker,192
C14,eye_tracker,558
C14,eye_tracker,133
C14,eye_tracker,158
