image_id,imgW,imgH,CVisibleAreaWidth,CVisibleAreaHeight,errorType,area
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,FP,345956
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,Decision,53551195
C10,96768,211968,36191.232,24584.41644,Recognition,53551195
C10,96768,211968,36191.232,24584.41644,Recognition,53551195
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,Decision,53551195
C10,96768,211968,36191.232,24584.41644,Recognition,53551195
C10,96768,211968,36191.232,24584.41644,FP,433110
C10,96768,211968,36191.232,24584.41644,Recognition,53551195
C10,96768,211968,36191.232,24584.41644,TP,53551195
C10,96768,211968,36191.232,24584.41644,FP,53551195
C10,96768,211968,36191.232,24584.41644,FP,53551195
C10,96768,211968,24095.232,16454.13699,TP,53551195
C10,96768,211968,10741.248,7259.178082,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C17,155648,86016,9183.232,6221.772152,Recognition,10490.5
C10,96768,211968,7160.832,4839.452055,TP,53551195
C10,96768,211968,10741.248,7259.178082,FP,53551195
C17,155648,86016,9183.232,6221.772152,Recognition,455472
C10,96768,211968,10741.248,7259.178082,Recognition,53551195
C10,96768,211968,10741.248,7259.178082,Recognition,53551195
C10,96768,211968,10741.248,7259.178082,Recognition,53551195
C10,96768,211968,7160.832,4839.452055,Recognition,53551195
C10,96768,211968,3193.344,2129.358904,TP,53551195
C10,96768,211968,3193.344,2129.358904,TP,53551195
C10,96768,211968,4741.632,3194.038356,TP,53551195
C10,96768,211968,4741.632,3194.038356,TP,53551195
