username,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9
C1,386.9,275.027027,264.7142857,262.1621622,299.7631579,341.6428571,257.7307692,396.5,149.12,126.6,314.1774194
C2,253.576087,285.6741573,221.1257669,287.5175439,278.0323887,259.8257191,260.8652482,297.6849315,131.4482759,226.9626168,172.7894737
C3,248.7391304,274.9178744,268.6902174,305.875,286.216,287.3492063,225.1490683,276.5128205,109.8888889,212.1363636,138.7377049
C4,255.4047619,242.996063,228.3835616,257.4065934,250.0877193,291.7306667,210.1509434,314.56,125.4594595,217.877551,150.832
C5,251.8297872,289.8763441,299.4666667,220.3063063,314.3571429,283.75,281.6451613,440.0952381,162.9,215.7777778,269.6721311
C6,260.0344828,269.1428571,191.3461538,254.6829268,270.5851852,246.7843137,216.6818182,281.0634921,127,191.9677419,165.8783784
C7,233.4320988,262.1520468,295.8263473,270.1604396,257.2571429,270.7181009,239.78,316.5238095,130.2295082,185.6461538,229.0030864
C8,260.3125,266.8256881,173.125,308.8783784,240.0555556,288.5115385,251.1346154,266.8571429,104,198.5151515,187.5238095
C9,265.5192308,274.7244898,260.9649123,273.4587156,249.3424658,254.6555556,237.4342857,321.8125,117.875,204.4464286,169.3766234
C10,275.7094972,312.4615385,280.2088608,245.6255507,283.8410256,264.8736842,236.2561983,264.8695652,120.75,251.16,240.1437908
C11,269.6052632,255.625,291.25,276.825,261.15,293.4447174,227.9349593,293.1428571,96.96666667,238.245283,219.7718121
C12,259.0315789,266.9251101,284.9097222,275.8044693,274.2556054,268.1050228,231.8908189,335.1052632,119.0821918,235.0461538,207.2359551
C13,256.8734177,228.0449735,206.6913319,275.4360902,248.6747573,248.9954338,232.647541,300.5,138.8923077,195.7435897,201.3472803
C14,294.9,285.9339623,171.5369458,274.4390244,261.6982759,255.1609195,262.0970874,268.1473684,138.8518519,218.6068376,192.6124444
C15,295.4210526,284.5578947,228.7439024,260.0833333,239.9180328,275.5983607,243.6734694,241.744186,122.0851064,205.6748466,155.9545455
C16,254.4450867,267.1618497,248.3117647,280.7181818,301.3829787,259.6838488,257.8641975,281,83.5,212.0980392,213.0934579
C17,238.0394737,267.7854785,276.9717514,249.3513514,233.664557,281.2225064,236.2167832,252.6595745,113.6666667,177.1641791,197.0719424
C18,280.1690141,280.2978723,385.6363636,252.744186,318.4137931,275.3934426,267.0909091,297.8541667,143.6060606,225,288.53125
C19,287.6481481,248.890411,299.2678571,268.5042017,350.9473684,316.9032258,238.3770492,318.975,142.0603448,200,301.970297
C20,254.3636364,259.8219697,218.2116041,293.6190476,275.8014184,279.5397412,237.0390625,242.5070423,166.7,200.2386364,177.9281437
C21,259.9189189,262.1981132,360.8823529,221.5416667,312.7666667,242.4897959,248.1445783,354.3333333,137.9210526,233.7619048,216.0384615
C22,231.6860465,241.1591696,278.025,287.9347826,288.9620253,257.2031873,223.375,310.2727273,123.4588235,206.9888889,194.8333333
C23,243.372549,245.0581395,231.655914,243.3014706,280.185,276.0841487,211.4901961,270.2705882,137.5,218.8489209,235.7085714
C24,302.7042254,287.6602564,255.0851064,266.1111111,295.1262136,349.5967742,228.6818182,303.625,148.5217391,236.6153846,247.7910448
C25,228.8030303,250.2631579,238.9617834,258.1098266,282.4178674,266.4396135,233.0129032,332.7916667,118.4901961,216.96,207.84
C26,262.1923077,266.7552448,282.1805556,364.6533333,256.7430556,285.770318,245.125,304.7413793,115.625,244.9642857,211.5416667
C27,253.5714286,267.4402036,254.5145631,255.4153846,261.4402516,267.2432432,239.1707317,302.5277778,129.8333333,203.8055556,193.3411765
C28,248.3902439,308.1727273,269.9262673,296.1990521,244.0930233,272.3415842,234.9213483,251.2545455,119.7368421,181.047619,207.98
C29,231.976378,237.9814126,201.8928571,281.7956989,240.7225806,256.4609756,233.8681319,304.9902913,139.7692308,208.6808511,209.5350318
C30,255.4512195,258.532567,260.5980707,278.7040816,249.8791946,269.8842444,266.9428571,302.3168317,112.3157895,207.8108108,206.203125
C31,272.7058824,273.6621622,279.7006803,269.7021277,276.4158416,294.3859649,236.1290323,306.8214286,152.3673469,198.0526316,204.8852459
C32,263.9029126,260.3816092,270.9014085,281.627907,266.3589744,300.2264151,244.9215686,356.0724638,119.5,250.21875,245.9701493
C33,250.2833333,252.1646341,353.8181818,264.7380952,288.1818182,332.9375,303.8705882,289.8333333,177.0754717,300.75,233
C34,235.6078431,248.8263889,551.7,296.5740741,285.8461538,298,230.3783784,385.826087,186.5416667,240.7894737,215.6764706
C35,252.7333333,281.1018182,343.1764706,302.2898551,279.962963,292.8103448,243.4920635,307.2,,192.0434783,267.4193548
C36,273.6111111,297.5060241,226.32,256.442623,273.8684211,254.752809,255.9642857,282.1071429,119.025641,241.9354839,257.2121212
C37,240.5820896,293.4423077,198.9821429,283.242236,263.9748954,249.7909605,253.9019608,264.3043478,126.0869565,189.2105263,181.1311475
C38,248.0930233,277.9856459,282.486631,290.4496124,281.4951456,234.5668934,252.4444444,335.9752066,146.4366197,230.6323529,212.6891192
C39,279.2180451,236.112782,217.1349862,273.5454545,275.8241758,257.8783784,249.0448276,401.546875,111.3571429,208.5,210.3831169
C40,240.3333333,260.3302752,302.25,224.2424242,268.6518519,252.2679739,249.4895397,289.1388889,161.21875,217.0833333,172.6266667
C41,274.4759358,259.0818182,204.7894737,270.6909091,355.4347826,271.1487069,262.9615385,295.779661,126.4222222,203.3857143,236.5314961
C42,247.5842697,281.5474453,155.4,306,254.4227642,267.3483871,243.0285714,346.2833333,127.5277778,210.6428571,192.2027972
C43,267.877193,270.0309735,248.0655022,285.9637681,244.5979381,270.0756579,228.7910448,253.6875,116.7,187,169.761194
C44,277.0416667,300.114094,293.5217391,325.0615385,332.375,282.4225352,284.7222222,371.8125,112.7837838,248.6875,250.7545455
C45,237.6,265.5193237,195.4455446,302.9041916,252.3301887,271.6482759,223,320.0320856,128.2631579,271.5,180.5785124
C46,317.1818182,269.3584906,174.3333333,274.5675676,311.325,353.2608696,262.8913043,396.0909091,161.2413793,251.8888889,261.2608696
C47,264.483871,263.5710456,305.7272727,234.684492,288.9512195,320.3877551,259.4545455,389.8333333,208,135.75,277.5769231
C48,268.884058,264.1083333,204.3374233,269.1376812,292.151751,242.9626556,234.8947368,317.7419355,127.0545455,173.047619,171.8082192
C49,282.3835616,275.0457317,276.7300613,269.9779614,247.9844961,279.2066116,234.5138889,284.4375,174,191.4666667,194.1916667
C50,260.8823529,277.5525114,233.7024793,273.24,268.2932692,244.3032491,240.4202899,236.1126761,111.5636364,201,182.9459459
C51,381.8888889,273.8557214,397.8518519,296.5,417.1428571,407.4642857,256.9622642,311.4545455,122.1428571,179.6206897,395.0810811
C52,276.3035714,243.1319444,280.8907104,281.4747475,267.3418803,293.8215962,230.7125,245.3235294,149.3863636,204.2571429,195.7905759
C53,223.2804878,244.8391608,272.6530612,259.5769231,253.7222222,265.9072848,208.3088235,295.3267327,118.0408163,221.1627907,216.4615385
C54,223.4747475,274.7544643,286.6266667,266.07,260.4266667,242.9090909,236.1511628,290.1632653,129.9132948,190.6764706,207.9425287
C55,326.2592593,248.6020408,320.1363636,280.8235294,274.6666667,345.3235294,225.3333333,320.7142857,154.7631579,280.6,260.1212121
C56,281.0307692,283.2159091,412.037037,294.8536585,277.55,326.5185185,275.6571429,427.6428571,137.0862069,230.4444444,273.8591549
C57,266.2333333,269.4014599,277.0694444,278.3548387,251.21875,271.3076923,236.0125,286.7105263,157.6721311,186.1714286,179.5460123
C58,263.7151899,279.8981481,311.1111111,324.6153846,340.0606061,262.6956522,243.32,293.8333333,132.8846154,237.5,317
C59,258.622807,275.7364017,180.3670886,268.7974684,263.9861751,301.9419643,228.5179856,213.2727273,141.5,263.3,132.1923077
C60,273.5423729,258.1903114,261.7768595,283.1037736,251.0967742,289.739726,250.327044,311.4090909,156.6533333,206.0689655,176.3068182
