username,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9,,Resident,Intermediate,Experienced,Advanced
C1,22791,60370,14209,32998,34300,18740,27768,18879,53395,9371,35070,,40378.66667,25533.66667,22462.66667,31383
C2,29049,68091,141952,49534,102895,210705,52909,59503,101788,39252,35423,,56844.66667,91725.66667,101450,70520
C3,18894,71486,68600,45875,57545,96285,56621,20231,62714,11335,21498,,57994,45559,48792,37024.5
C4,37117,81002,57580,29063,23997,142635,13370,19243,45088,14120,47812,,41145,75854.66667,33606.66667,29604
C5,21241,70225,17482,74272,16071,14424,20913,23736,36745,10600,30908,,55136.66667,22191,19096.33333,23672.5
C6,10160,71479,65163,106054,51000,54892,25161,27383,9852,13357,30158,,67564.66667,31736.66667,47848.66667,11604.5
C7,27375,62568,67183,170961,22733,125868,123304,29887,39026,22639,101540,,118944.3333,84927.66667,39934.33333,30832.5
C8,22028,39599,42538,28409,19876,93645,21774,15617,1365,13109,15672,,29927.33333,43781.66667,26010.33333,7237
C9,17126,139387,58858,36029,25887,32223,96642,17390,52878,17939,31052,,90686,26800.33333,34045,35408.5
C10,63013,67349,65189,83089,73734,42222,49435,26683,45816,14320,247098,,66624.33333,117444.3333,55202,30068
C11,30482,86614,95727,53907,52102,162945,40292,17897,27544,19786,59351,,60271,84259.33333,55242,23665
C12,36500,146158,108722,70865,81248,194341,132297,18871,68094,24146,63331,,116440,98057.33333,69613.66667,46120
C13,34243,114658,179999,44667,74793,93771,50427,23425,41404,25942,82751,,69917.33333,70255,92739,33673
C14,33999,112612,79798,61932,95477,89560,98647,44242,88741,43661,456240,,91063.66667,193266.3333,73172.33333,66201
C15,16691,38608,38094,22654,26428,46833,15426,17603,59143,56819,26534,,25562.66667,30019.33333,27375,57981
C16,65123,54510,62557,39465,40617,105806,38725,13609,24744,17551,45396,,44233.33333,72108.33333,38927.66667,21147.5
C17,32501,102589,66059,49477,49906,277559,50339,19035,38267,29592,48155,,67468.33333,119405,45000,33929.5
C18,52093,69356,9014,15202,22191,31802,32093,42917,37522,10428,19316,,38883.66667,34403.66667,24707.33333,23975
C19,27738,34011,32672,56593,12368,16393,47956,28974,131600,7982,52035,,46186.66667,32055.33333,24671.33333,69791
C20,54165,87782,95682,52786,56761,203440,49522,27152,35188,31069,58193,,63363.33333,105266,59865,33128.5
C21,61117,49468,11969,43587,14446,27684,47545,14176,90462,11871,23574,,46866.66667,37458.33333,13530.33333,51166.5
C22,26971,89128,112926,80493,34513,91426,63256,24516,75712,28875,40929,,77625.66667,53108.66667,57318.33333,52293.5
C23,86486,83507,80508,43769,84824,199244,45790,36940,121714,49903,68893,,57688.66667,118207.6667,67424,85808.5
C24,35739,117296,19441,35167,52961,33167,43876,11408,104920,18696,32414,,65446.33333,33773.33333,27936.66667,61808
C25,21116,41910,53192,56230,136295,74476,52162,24249,43980,18381,69894,,50100.66667,55162,71245.33333,31180.5
C26,22103,52935,102368,32357,49149,108145,29532,21806,34340,12297,40161,,38274.66667,56803,57774.33333,23318.5
C27,46951,137146,39261,71150,59229,53054,39330,17424,61070,13189,55004,,82542,51669.66667,38638,37129.5
C28,12788,83789,77041,74814,33428,73267,37070,23879,45506,29781,61488,,65224.33333,49181,44782.66667,37643.5
C29,44982,86276,77762,34842,55990,147415,26185,61955,52089,18069,56864,,49101,83087,65235.66667,35079
C30,26850,90895,105507,33453,49193,115030,17007,44474,82349,29627,112345,,47118.33333,84741.66667,66391.33333,55988
C31,21953,50956,57355,33238,43812,46155,16951,10048,51203,12249,24806,,33715,30971.33333,37071.66667,31726
C32,38200,144331,51336,88222,38285,24331,24697,39451,27399,15473,63131,,85750,41887.33333,43024,21436
