image_id,imageZoom
C1,0.077523647
C2,0.208319763
C3,0.166092914
C4,0.253098751
C5,0.096198756
C6,0.157204593
C7,0.250361026
C8,0.128388945
C9,0.159932824
C10,0.240045638
C11,0.150859718
C12,0.148164873
C13,0.156202617
C14,0.179831295
C15,0.19173435
C16,0.244925568
C17,0.136943502
C18,0.128696657
C19,0.04918073
C20,0.198790333
C21,0.108732603
C22,0.138433241
C23,0.260004217
C24,0.159784318
C25,0.21460639
C26,0.206152582
C27,0.140421236
C28,0.123133274
C29,0.098331829
C30,0.140071589
C31,0.184569142
C32,0.113094196
C33,0.027140441
C34,0.199714128
C35,0.105329213
C36,0.225050265
C37,0.158858768
C38,0.218129208
C39,0.212045417
C40,0.21499254
C41,0.234054028
C42,0.214174588
C43,0.148098689
C44,0.057947898
C45,0.207408541
C46,0.125620374
C47,0.170930485
C48,0.227278471
C49,0.216101824
C50,0.118537379
C51,0.114670073
C52,0.244011391
C53,0.104561185
C54,0.099621664
C55,0.072140302
C56,0.083427291
C57,0.170259554
C58,0.227718624
C59,0.131432781
C60,0.199520608
